job_id,order,arm,direction,scope,records,network_forwards,adam_calls,loss_backward_calls,status
o1a7,1,K_ALL,B,primary,1951,15608,1951,1951,PROPOSAL_ONLY_NOT_SERVER_REGISTERED_DRY_RUN
o1a8,1,K_MAG,B,primary,1951,15608,1951,1951,PROPOSAL_ONLY_NOT_SERVER_REGISTERED_DRY_RUN
o1a9,1,K_FREE,B,primary,1951,15608,1951,1951,PROPOSAL_ONLY_NOT_SERVER_REGISTERED_DRY_RUN
o1a10,1,G_BOUND,C,primary,1951,15608,1951,1951,PROPOSAL_ONLY_NOT_SERVER_REGISTERED_DRY_RUN
o1a11,1,G_CONST,C,primary,1951,15608,1951,1951,PROPOSAL_ONLY_NOT_SERVER_REGISTERED_DRY_RUN
o1a12,1,G_SHUFFLE,C,primary,1951,15608,1951,1951,PROPOSAL_ONLY_NOT_SERVER_REGISTERED_DRY_RUN
o1a13,1,G_GLOBAL,C,primary,1951,15608,1951,1951,PROPOSAL_ONLY_NOT_SERVER_REGISTERED_DRY_RUN
o2a0,2,C,A,primary,1951,15608,1951,1951,PROPOSAL_ONLY_NOT_SERVER_REGISTERED_DRY_RUN
o2a1,2,RP,A,primary,1951,15608,1951,1951,PROPOSAL_ONLY_NOT_SERVER_REGISTERED_DRY_RUN
o2a2,2,MT,A,primary,1951,15608,1951,1951,PROPOSAL_ONLY_NOT_SERVER_REGISTERED_DRY_RUN
o2a3,2,MT_RP,A,primary,1951,17559,1951,1951,PROPOSAL_ONLY_NOT_SERVER_REGISTERED_DRY_RUN
o2a4,2,FT,A,primary,1951,15608,1951,1951,PROPOSAL_ONLY_NOT_SERVER_REGISTERED_DRY_RUN
o2a5,2,FT_RP,A,primary,1951,17559,1951,1951,PROPOSAL_ONLY_NOT_SERVER_REGISTERED_DRY_RUN
o2a6,2,KDG,B,primary,1951,15608,1951,1951,PROPOSAL_ONLY_NOT_SERVER_REGISTERED_DRY_RUN
o2a7,2,K_ALL,B,primary,1951,15608,1951,1951,PROPOSAL_ONLY_NOT_SERVER_REGISTERED_DRY_RUN
o2a8,2,K_MAG,B,primary,1951,15608,1951,1951,PROPOSAL_ONLY_NOT_SERVER_REGISTERED_DRY_RUN
o2a9,2,K_FREE,B,primary,1951,15608,1951,1951,PROPOSAL_ONLY_NOT_SERVER_REGISTERED_DRY_RUN
o2a10,2,G_BOUND,C,primary,1951,15608,1951,1951,PROPOSAL_ONLY_NOT_SERVER_REGISTERED_DRY_RUN
o2a11,2,G_CONST,C,primary,1951,15608,1951,1951,PROPOSAL_ONLY_NOT_SERVER_REGISTERED_DRY_RUN
o2a12,2,G_SHUFFLE,C,primary,1951,15608,1951,1951,PROPOSAL_ONLY_NOT_SERVER_REGISTERED_DRY_RUN
o2a13,2,G_GLOBAL,C,primary,1951,15608,1951,1951,PROPOSAL_ONLY_NOT_SERVER_REGISTERED_DRY_RUN
o3a0,3,C,A,primary,1951,15608,1951,1951,PROPOSAL_ONLY_NOT_SERVER_REGISTERED_DRY_RUN
o3a1,3,RP,A,primary,1951,15608,1951,1951,PROPOSAL_ONLY_NOT_SERVER_REGISTERED_DRY_RUN
o3a2,3,MT,A,primary,1951,15608,1951,1951,PROPOSAL_ONLY_NOT_SERVER_REGISTERED_DRY_RUN
o3a3,3,MT_RP,A,primary,1951,17559,1951,1951,PROPOSAL_ONLY_NOT_SERVER_REGISTERED_DRY_RUN
o3a4,3,FT,A,primary,1951,15608,1951,1951,PROPOSAL_ONLY_NOT_SERVER_REGISTERED_DRY_RUN
o3a5,3,FT_RP,A,primary,1951,17559,1951,1951,PROPOSAL_ONLY_NOT_SERVER_REGISTERED_DRY_RUN
o3a6,3,KDG,B,primary,1951,15608,1951,1951,PROPOSAL_ONLY_NOT_SERVER_REGISTERED_DRY_RUN
o3a7,3,K_ALL,B,primary,1951,15608,1951,1951,PROPOSAL_ONLY_NOT_SERVER_REGISTERED_DRY_RUN
o3a8,3,K_MAG,B,primary,1951,15608,1951,1951,PROPOSAL_ONLY_NOT_SERVER_REGISTERED_DRY_RUN
o3a9,3,K_FREE,B,primary,1951,15608,1951,1951,PROPOSAL_ONLY_NOT_SERVER_REGISTERED_DRY_RUN
o3a10,3,G_BOUND,C,primary,1951,15608,1951,1951,PROPOSAL_ONLY_NOT_SERVER_REGISTERED_DRY_RUN
o3a11,3,G_CONST,C,primary,1951,15608,1951,1951,PROPOSAL_ONLY_NOT_SERVER_REGISTERED_DRY_RUN
o3a12,3,G_SHUFFLE,C,primary,1951,15608,1951,1951,PROPOSAL_ONLY_NOT_SERVER_REGISTERED_DRY_RUN
o3a13,3,G_GLOBAL,C,primary,1951,15608,1951,1951,PROPOSAL_ONLY_NOT_SERVER_REGISTERED_DRY_RUN
o4a0,4,C,A,recurrence_secondary,1951,15608,1951,1951,PROPOSAL_ONLY_NOT_SERVER_REGISTERED_DRY_RUN
o4a1,4,RP,A,recurrence_secondary,1951,15608,1951,1951,PROPOSAL_ONLY_NOT_SERVER_REGISTERED_DRY_RUN
o4a2,4,MT,A,recurrence_secondary,1951,15608,1951,1951,PROPOSAL_ONLY_NOT_SERVER_REGISTERED_DRY_RUN
o4a3,4,MT_RP,A,recurrence_secondary,1951,17559,1951,1951,PROPOSAL_ONLY_NOT_SERVER_REGISTERED_DRY_RUN
o4a4,4,FT,A,recurrence_secondary,1951,15608,1951,1951,PROPOSAL_ONLY_NOT_SERVER_REGISTERED_DRY_RUN
o4a5,4,FT_RP,A,recurrence_secondary,1951,17559,1951,1951,PROPOSAL_ONLY_NOT_SERVER_REGISTERED_DRY_RUN
o4a6,4,KDG,B,recurrence_secondary,1951,15608,1951,1951,PROPOSAL_ONLY_NOT_SERVER_REGISTERED_DRY_RUN
o4a7,4,K_ALL,B,recurrence_secondary,1951,15608,1951,1951,PROPOSAL_ONLY_NOT_SERVER_REGISTERED_DRY_RUN
o4a8,4,K_MAG,B,recurrence_secondary,1951,15608,1951,1951,PROPOSAL_ONLY_NOT_SERVER_REGISTERED_DRY_RUN
o4a9,4,K_FREE,B,recurrence_secondary,1951,15608,1951,1951,PROPOSAL_ONLY_NOT_SERVER_REGISTERED_DRY_RUN
o4a10,4,G_BOUND,C,recurrence_secondary,1951,15608,1951,1951,PROPOSAL_ONLY_NOT_SERVER_REGISTERED_DRY_RUN
o4a11,4,G_CONST,C,recurrence_secondary,1951,15608,1951,1951,PROPOSAL_ONLY_NOT_SERVER_REGISTERED_DRY_RUN
o4a12,4,G_SHUFFLE,C,recurrence_secondary,1951,15608,1951,1951,PROPOSAL_ONLY_NOT_SERVER_REGISTERED_DRY_RUN
o4a13,4,G_GLOBAL,C,recurrence_secondary,1951,15608,1951,1951,PROPOSAL_ONLY_NOT_SERVER_REGISTERED_DRY_RUN
